FileName1	Frequency	Frequency10	Runtime_s	Procs_Var_Flag	Iters_Var_Flag	RelativeEXECTIME	FileName2	Frequency20	Total_Power	FileName3	Frequency30	FreqParam0	TotalPowerParam0	IAPowerParam0	DRAMPowerParam0	FreqParam1	TotalPowerParam1	IAPowerParam1	DRAMPowerParam1	FileName4	pintops	pmemops	ploads	pstores	pfpops	pbranchops	l1hr	l2hr	l3hr	l1m	l2m	l3m	l1mpi	l2mpi	l3mpi	idu	fdu	idu2	fdu2	mdu2	fprat	bytespermop	pvec512	pvec256	pvec128	spatial	spat0	spat2	spat4	spat8	spat16	spat32	spat64	spat128	spatOther
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	1.4	1400000	11.74330353	0	0	1.114188409	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	1400000	182.6733333	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	1400000	1369.1	37.1482	20.77878	14.77356	1380.4	36.95396	20.50953	14.08122	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	44.44444444	55.55555556	38.88888889	16.66666667	16.66666667	5.555555556	49.61414557	20.60990413	50.02210374	19188815531	15234019040	7613642224	0.2799214134	0.2222298783	0.1110658179	3.277777778	0.1666666667	21.67346939	6	2.93877551	0.3	8	0	0	0	1.96	1.52E+10	23	0	0.00E+00	2.30E+01	1.52E+10	7.62E+09	46	989265
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2.1	2100000	10.84451861	0	0	1.028912939	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2100000	214.7071429	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2100000	1939.17857	50.94319	34.4499	14.94621	2007.57143	51.29537	34.67481	14.21898	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	44.44444444	55.55555556	38.88888889	16.66666667	16.66666667	5.555555556	49.61414557	20.60990413	50.02210374	19188815531	15234019040	7613642224	0.2799214134	0.2222298783	0.1110658179	3.277777778	0.1666666667	21.67346939	6	2.93877551	0.3	8	0	0	0	1.96	1.52E+10	23	0	0.00E+00	2.30E+01	1.52E+10	7.62E+09	46	989265
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2.6	2600000	10.6149593	0	0	1.007132669	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2600000	242.4785714	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2600000	2353.10714	63.11347	46.64161	14.77701	2459.35714	63.68346	47.10077	14.01157	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	44.44444444	55.55555556	38.88888889	16.66666667	16.66666667	5.555555556	49.61414557	20.60990413	50.02210374	19188815531	15234019040	7613642224	0.2799214134	0.2222298783	0.1110658179	3.277777778	0.1666666667	21.67346939	6	2.93877551	0.3	8	0	0	0	1.96	1.52E+10	23	0	0.00E+00	2.30E+01	1.52E+10	7.62E+09	46	989265
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2.7	2700000	10.57568425	0	0	1.003406306	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2700000	259.9153846	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2700000	2456.88889	67.78383	51.21424	15.18199	2550.66667	68.86325	52.17105	14.41387	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	44.44444444	55.55555556	38.88888889	16.66666667	16.66666667	5.555555556	49.61414557	20.60990413	50.02210374	19188815531	15234019040	7613642224	0.2799214134	0.2222298783	0.1110658179	3.277777778	0.1666666667	21.67346939	6	2.93877551	0.3	8	0	0	0	1.96	1.52E+10	23	0	0	23	1.52E+10	7.62E+09	46	989265
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2.9	2900000	10.53978253	0	0	1	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2900000	274.6846154	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	2900000	2644.11111	73.75159	57.18949	14.9826	2746.51852	74.84143	58.16644	14.32694	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_4_4_8	44.44444444	55.55555556	38.88888889	16.66666667	16.66666667	5.555555556	49.61414557	20.60990413	50.02210374	19188815531	15234019040	7613642224	0.2799214134	0.2222298783	0.1110658179	3.277777778	0.1666666667	21.67346939	6	2.93877551	0.3	8	0	0	0	1.96	1.52E+10	23	0	0	23	1.52E+10	7.62E+09	46	989265
 StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1.4	1400000	5.887671038	18	0	1.503290809	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1400000	172.6777778	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1400000	0	0	0	0	0	0	0	0	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	40.00000763	53.33331807	39.99998856	13.33332952	39.99998856	6.666671117	68.11521874	1.985965592	79.93780748	14550205776	14261243680	2861118160	0.170052118	0.1666749413	0.03343864756	1.999999873	0.4666665332	17.99999542	2.916667501	2.916667501	0.75	8	0	0	0	1.96	1.71E+10	0	0	0	1.71E+10	0.00E+00	1.14E+10	0	1403584
 StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1.8	1800000	4.757820675	18	0	1.214807697	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1800000	186.625	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	1800000	0	0	0	0	0	0	0	0	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	40.00000763	53.33331807	39.99998856	13.33332952	39.99998856	6.666671117	68.11521874	1.985965592	79.93780748	14550205776	14261243680	2861118160	0.170052118	0.1666749413	0.03343864756	1.999999873	0.4666665332	17.99999542	2.916667501	2.916667501	0.75	8	0	0	0	1.96	1.71E+10	0	0	0	1.71E+10	0.00E+00	1.14E+10	0	1403584
 StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2.6	2600000	4.007891975	18	0	1.023329451	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2600000	223.7428571	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2600000	0	0	0	0	0	0	0	0	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	40.00000763	53.33331807	39.99998856	13.33332952	39.99998856	6.666671117	68.11521874	1.985965592	79.93780748	14550205776	14261243680	2861118160	0.170052118	0.1666749413	0.03343864756	1.999999873	0.4666665332	17.99999542	2.916667501	2.916667501	0.75	8	0	0	0	1.96	1.71E+10	0	0	0	1.71E+10	0.00E+00	1.14E+10	0	1403584
 StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2.1	2100000	4.304897988	18	0	1.099163581	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2100000	193.2875	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2100000	0	0	0	0	0	0	0	0	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	40.00000763	53.33331807	39.99998856	13.33332952	39.99998856	6.666671117	68.11521874	1.985965592	79.93780748	14550205776	14261243680	2861118160	0.170052118	0.1666749413	0.03343864756	1.999999873	0.4666665332	17.99999542	2.916667501	2.92E+00	0.75	8	0	0.00E+00	0	1.96E+00	1.71E+10	0	0	0	1.71E+10	0	1.14E+10	0	1403584
 StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2.9	2900000	3.916521675	18	0	1	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2900000	239.5142857	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	2900000	0	0	0	0	0	0	0	0	StrideBenchmarks_Iters_170_Vars_1_DS_d_Alloc_d_Dims_1_Size_2097152_Random_0_Streams_2_Ops_MdpMdp_Stride_2_8	40.00000763	53.33331807	39.99998856	13.33332952	39.99998856	6.666671117	68.11521874	1.985965592	79.93780748	14550205776	14261243680	2861118160	0.170052118	0.1666749413	0.03343864756	1.999999873	0.4666665332	17.99999542	2.916667501	2.92E+00	0.75	8	0	0.00E+00	0	1.96E+00	1.71E+10	0	0	0	1.71E+10	0	1.14E+10	0	1403584
